ind,group,continent,country,state,year,Pop,admix
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop01,0.999399960041046
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop02,9.99867334030569e-05
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop03,9.99867334030569e-05
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop04,9.99867334030569e-05
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop05,9.99867334030569e-05
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop06,9.99867334030569e-05
Pd_49,group1,N_America,USA,Pennsylvania,2009,pop07,9.99867334030569e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop01,0.999399960041046
Pd_50,group1,N_America,USA,New Jersey,2009,pop02,9.99951371341012e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop03,9.99951371341012e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop04,9.99951371341012e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop05,9.99951371341012e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop06,9.99951371341012e-05
Pd_50,group1,N_America,USA,New Jersey,2009,pop07,9.99951371341012e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop01,0.999400019645691
Pd_51,group1,N_America,USA,West Virginia,2009,pop02,9.99794719973579e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop03,9.99794719973579e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop04,9.99794719973579e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop05,9.99794719973579e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop06,9.99794719973579e-05
Pd_51,group1,N_America,USA,West Virginia,2009,pop07,9.99794719973579e-05
Pd_52,group1,N_America,Canada,Ontario,2010,pop01,0.999399721622467
Pd_52,group1,N_America,Canada,Ontario,2010,pop02,0.000100026329164393
Pd_52,group1,N_America,Canada,Ontario,2010,pop03,0.000100026329164393
Pd_52,group1,N_America,Canada,Ontario,2010,pop04,0.000100026329164393
Pd_52,group1,N_America,Canada,Ontario,2010,pop05,0.000100026329164393
