ind,continent,country,state,year,Pop,admix
Pd_63,N_America,USA,Tennessee,2010,pop04,0.000355558033334091
Pd_63,N_America,USA,Tennessee,2010,pop05,0.000104023631138261
Pd_63,N_America,USA,Tennessee,2010,pop06,0.000107360414403956
Pd_63,N_America,USA,Tennessee,2010,pop07,0.000103718113678042
Pd_64,N_America,USA,Maryland,2010,pop01,9.83249847195111e-05
Pd_64,N_America,USA,Maryland,2010,pop02,0.754821419715881
Pd_64,N_America,USA,Maryland,2010,pop03,0.230787813663483
Pd_64,N_America,USA,Maryland,2010,pop04,0.013997420668602
Pd_64,N_America,USA,Maryland,2010,pop05,9.83249847195111e-05
Pd_64,N_America,USA,Maryland,2010,pop06,9.83249847195111e-05
Pd_64,N_America,USA,Maryland,2010,pop07,9.83249847195111e-05
Pd_65,N_America,USA,New York,2009,pop01,0.551457405090332
Pd_65,N_America,USA,New York,2009,pop02,0.448038727045059
Pd_65,N_America,USA,New York,2009,pop03,0.000100756333267782
Pd_65,N_America,USA,New York,2009,pop04,0.000100756333267782
Pd_65,N_America,USA,New York,2009,pop05,0.000100756333267782
Pd_65,N_America,USA,New York,2009,pop06,0.000100756333267782
Pd_65,N_America,USA,New York,2009,pop07,0.000100756333267782
Pd_66,N_America,USA,Vermont,2010,pop01,0.747775256633759
Pd_66,N_America,USA,Vermont,2010,pop02,9.28610243136063e-05
Pd_66,N_America,USA,Vermont,2010,pop03,0.153783470392227
Pd_66,N_America,USA,Vermont,2010,pop04,0.0980697870254517
Pd_66,N_America,USA,Vermont,2010,pop05,9.28610243136063e-05
Pd_66,N_America,USA,Vermont,2010,pop06,9.28610243136063e-05
Pd_66,N_America,USA,Vermont,2010,pop07,9.28610243136063e-05
Pd_67,N_America,Canada,Ontario,2010,pop01,0.000101469006040134
Pd_67,N_America,Canada,Ontario,2010,pop02,0.904921412467957
Pd_67,N_America,Canada,Ontario,2010,pop03,0.0869048163294792
Pd_67,N_America,Canada,Ontario,2010,pop04,0.00777161074802279
